*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=F_INTERFACE_AL_FULL_TROU_v0.01
*Date=12:38:45
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
230;;;99.2048;-13.9311;-90;Bottom;TXT41
231;;;87.122;-67.5369;180;Bottom;TXT41
232;;;10.9788;-16.1494;-45;Bottom;TXT41
233;;;77.5471;-23.1406;0;Bottom;TXT41
234;;;53.5042;-66.0016;-90;Bottom;TXT41
235;;;75.3725;-1.54465;-90;Bottom;TXT41
236;;;60.3439;-17.2096;0;Bottom;Via11
237;;;0.364147;-55.6999;90;Bottom;TXT41
238;;THT;79.5236;-4.29619;-90;Bottom;JOY
239;;;57.0233;-55.0256;90;Bottom;TXT41
240;;;41.1797;-44.8374;0;Bottom;TXT41
241;;;97.1663;-25.2197;0;Bottom;TXT41
242;;;84.6035;-59.5412;0;Bottom;Via8
243;;cap-pth-5mm;87.7786;-43.7062;90;Bottom;C19
