*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=F_Interface_AL_Hardware_v0.02
*Date=11:37:08
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
164;;;0.583653;-15.7183;90;Bottom;TXT41
165;100;THT;85.2386;-10.6462;180;Bottom;R67
166;;THT;19.8818;-1.77651;-90;Bottom;Reset
167;;;1.99477;-24.5927;0;Bottom;TXT41
168;;THT;60.1442;-31.9422;90;Bottom;MUX_IN
169;;;2.64046;-13.194;0;Bottom;IMG2
170;;;11.0141;-18.7599;-45;Bottom;TXT41
171;;THT;5.22856;-15.7262;0;Bottom;BUT_3
172;;;61.0701;-54.8222;90;Bottom;TXT41
173;;;49.4778;-60.0441;0;Bottom;Via14
174;;;44.8017;-3.65962;0;Bottom;TXT41
175;;;97.3036;-66.2087;0;Bottom;Hole4
176;;THT;94.4461;-16.3612;0;Bottom;BUT_4
177;;;73.583;-26.2832;0;Bottom;TXT41
178;;cap-pth-5mm;80.5159;-62.7162;180;Bottom;C13
179;;;24.6196;-8.64705;90;Bottom;TXT41
180;;THT;10.3086;-64.6212;-90;Bottom;RS1
181;;;47.4476;-21.4412;90;Bottom;Arduino Nano
182;;;61.5627;-38.8787;0;Bottom;TXT42
183;;;10.9788;-16.1494;-45;Bottom;TXT41
184;;;57.5298;-8.53736;-90;Bottom;IMG2
185;;;2.34541;-53.1912;0;Bottom;IMG2
186;10k;THT;60.1561;-5.24869;90;Bottom;R83
187;;;1.83799;-32.1187;0;Bottom;TXT41
188;;;65.2125;-24.0282;0;Bottom;IMG2
189;;THT;2.37106;-57.0012;0;Bottom;J13
190;;;84.8426;-2.26555;-90;Bottom;TXT41
191;;;89.1709;-53.6733;-45;Bottom;TXT41
192;;;18.6424;-6.53812;0;Bottom;TXT41
193;;;96.991;-58.9454;0;Bottom;IMG2
194;;THT;28.5026;-11.2253;-90;Bottom;TFT
195;;THT;94.4461;-56.3662;0;Bottom;BUT_2
196;;;96.9654;-13.8212;0;Bottom;IMG2
197;;;43.9832;-64.6055;0;Bottom;IMG2
198;;;73.9561;-13.5928;0;Bottom;TXT41
199;;;31.8889;-40.0717;-90;Bottom;TXT41
200;10k;THT;39.8716;-5.52555;90;Bottom;R85
201;;THT;22.4218;-4.76863;-90;Bottom;OLED
202;10k;THT;11.9672;-26.8158;180;Bottom;R89
203;;;90.8054;-2.29722;-90;Bottom;TXT41
204;;;55.2775;-3.71071;0;Bottom;TXT41
205;;;10.4144;-55.449;45;Bottom;TXT41
206;10k;THT;88.8852;-58.7428;-45;Bottom;R73
207;;;19.4455;-8.50622;90;Bottom;TXT41
208;;;44.277;-67.3335;-90;Bottom;TXT41
209;;;0.646363;-20.8926;90;Bottom;TXT41
210;;;97.1976;-37.8885;0;Bottom;TXT41
211;;;10.9788;-13.6094;-45;Bottom;TXT41
212;;;25.8559;-8.54815;0;Bottom;Via24
213;;;1.78423;-44.1601;0;Bottom;TXT41
214;;;33.8631;-8.2705;110;Bottom;TXT41
215;;;51.2269;-31.9618;0;Bottom;IMG2
216;100;THT;18.5636;-60.1762;0;Bottom;R70
217;;;2.64046;-15.734;0;Bottom;IMG2
218;;;51.901;-25.2513;0;Bottom;Via3
219;10k;THT;10.7895;-58.1078;-135;Bottom;R54
220;;THT;43.4937;-60.0441;75;Bottom;SUL+
221;;;99.2359;-61.4384;-90;Bottom;TXT41
222;10k;THT;88.8945;-16.5153;-135;Bottom;R80
223;;;50.0705;-11.0341;0;Bottom;TXT41
224;;;46.1736;-3.87129;0;Bottom;TXT41
225;;THT;66.4756;-21.4818;0;Bottom;ICSP
226;;;55.0644;-54.924;90;Bottom;TXT41
